Circuito,Ejecucion,Hellinger
qwalk-v-chain_5_mqt.py,1,0.13407711779865453
qwalk-v-chain_5_mqt.py,2,0.1386314069856294
3_17tc_vq.py,1,0.08678236464241222
3_17tc_vq.py,2,0.07869378053939796
tsp_indep_4_mqt.py,1,0.12942776323370628
tsp_indep_4_mqt.py,2,0.08132102977123333
shor_mod21_mqt.py,1,0.08990794426927752
shor_mod21_mqt.py,2,0.03935360197085166
qwalk-noancilla_3_mqt.py,1,0.20123846132628315
qwalk-noancilla_3_mqt.py,2,0.13628231340959598
bv_3_vq.py,1,0.059357759557783704
bv_3_vq.py,2,0.03858918047343532
bv_5_vq.py,1,0.12377511952041695
bv_5_vq.py,2,0.15196712889949748
qwalk-v-chain_3_mqt.py,1,0.33333050926837693
qwalk-v-chain_3_mqt.py,2,0.27816851150140565
grover-noancilla_3_mqt.py,1,0.08994827697744999
grover-noancilla_3_mqt.py,2,0.08430920963434901
su2_5_vq.py,1,0.1699717578663146
su2_5_vq.py,2,0.10567235660158247
dj_indep_7_mqt.py,1,0.3911709261204668
dj_indep_7_mqt.py,2,0.1649399330840515
adder_n4_vq.py,1,0.08812535311370136
adder_n4_vq.py,2,0.09982459424258569
pe_3_mqt.py,1,0.10073088892690278
pe_3_mqt.py,2,0.08122995104330329
grover-v-chain_4_mqt.py,1,0.2201953574503198
grover-v-chain_4_mqt.py,2,0.22612430422451943
simon_vq.py,1,0.0163229302692997
simon_vq.py,2,0.03775392381134519
shor_mod15_mqt.py,1,0.6018598952540596
shor_mod15_mqt.py,2,0.163076611001527
su2random_3_mqt.py,1,0.030872570172125566
su2random_3_mqt.py,2,0.026697103894248796
vqe_indep_4_mqt.py,1,0.15827356847908178
vqe_indep_4_mqt.py,2,0.13629043433985744
bv_9_vq.py,1,0.3637262054251102
bv_9_vq.py,2,0.6038568975802588
tsp_indep_5_mqt.py,1,0.0861550422807407
tsp_indep_5_mqt.py,2,0.09235232880224406
qaoa_indep_3_mqt.py,1,0.12364728274892767
qaoa_indep_3_mqt.py,2,0.2496172497655779
grover_9_vq.py,1,0.2993584327733493
grover_9_vq.py,2,0.252766745589176
kickback_7_vq.py,1,0.003927845926895602
kickback_7_vq.py,2,0.001818776064699973
qft_7_vq.py,1,0.21371586773469928
qft_7_vq.py,2,0.23118830715755503
grover-noancilla_4_mqt.py,1,0.10545186676087717
grover-noancilla_4_mqt.py,2,0.11484528228027925
qft_3_mqt.py,1,0.1064804287624877
qft_3_mqt.py,2,0.09671431993710351
pe_2_vq.py,1,0.08679153006170331
pe_2_vq.py,2,0.09067242281938667
grover-v-chain_3_mqt.py,1,0.19574179953429882
grover-v-chain_3_mqt.py,2,0.13221126249857904
pe_6_vq.py,1,0.2330331080106824
pe_6_vq.py,2,0.22317207357318816
pe_5_mqt.py,1,0.39292212066953597
pe_5_mqt.py,2,0.14030444849296947
dj_indep_4_mqt.py,1,0.12687093681217407
dj_indep_4_mqt.py,2,0.08905488653029395
pe_6_mqt.py,1,0.18035355783691218
pe_6_mqt.py,2,0.5093104242040813
qft_3_vq.py,1,0.07946819260949058
qft_3_vq.py,2,0.12400684000298025
pe_4_mqt.py,1,0.2245544729937016
pe_4_mqt.py,2,0.2284147130582047
bv_2_vq.py,1,0.07830085691176172
bv_2_vq.py,2,0.05062823901667603
qaoa_indep_5_mqt.py,1,0.10371550249960675
qaoa_indep_5_mqt.py,2,0.10145229589298639
grover_3_vq.py,1,0.11146488634323844
grover_3_vq.py,2,0.10647602208450198
qft_2_mqt.py,1,0.11000313777657408
qft_2_mqt.py,2,0.09555873276623476
grover_7_vq.py,1,0.1912355435903847
grover_7_vq.py,2,0.11991673537336431
bv_4_vq.py,1,0.11947739744839105
bv_4_vq.py,2,0.08249792260155876
qft_6_mqt.py,1,0.12076168726241347
qft_6_mqt.py,2,0.1421997626887306
pe_5_vq.py,1,0.07387491826547357
pe_5_vq.py,2,0.07849420426847
qft_4_mqt.py,1,0.15704788776772327
qft_4_mqt.py,2,0.16293667127753778
vqe_indep_3_mqt.py,1,0.09246026513385706
vqe_indep_3_mqt.py,2,0.0886567374064065
qaoa_indep_4_mqt.py,1,0.1635320308146174
qaoa_indep_4_mqt.py,2,0.1354090538620381
vqe_indep_5_mqt.py,1,0.21570782648242348
vqe_indep_5_mqt.py,2,0.1289625726295487
dj_indep_5_mqt.py,1,0.16844231789070305
dj_indep_5_mqt.py,2,0.08724336611041356
adder_n10_vq.py,1,0.4644890271140126
adder_n10_vq.py,2,0.5428329549497761
adder_n7_vq.py,1,0.15784772738940378
adder_n7_vq.py,2,0.12678593217966286
pe_7_mqt.py,1,0.3207607669538008
pe_7_mqt.py,2,0.25990510115054677
