Circuito,Ejecucion,Hellinger
dj_indep_7_mqt.py,1,0.33437626963297956
dj_indep_7_mqt.py,2,0.1457004110534382
shor_mod21_mqt.py,1,0.13114953517253242
shor_mod21_mqt.py,2,0.7508121295455262
tsp_indep_5_mqt.py,1,0.08627595402820197
tsp_indep_5_mqt.py,2,0.10138126529716873
vqe_indep_4_mqt.py,1,0.20074457750353777
vqe_indep_4_mqt.py,2,0.10697119965661743
qwalk-v-chain_3_mqt.py,1,0.29503261207651305
qwalk-v-chain_3_mqt.py,2,0.2164041664239011
bv_2_vq.py,1,0.04082836385290472
bv_2_vq.py,2,0.3112600369977225
grover-noancilla_4_mqt.py,1,0.13868207557344459
grover-noancilla_4_mqt.py,2,0.21990692321557478
simon_vq.py,1,0.06526279307768812
simon_vq.py,2,0.06814780019358017
grover_9_vq.py,1,0.4404172070349229
grover_9_vq.py,2,0.34812843141111516
qaoa_indep_5_mqt.py,1,0.11007539284159998
qaoa_indep_5_mqt.py,2,0.08501068048505571
pe_4_mqt.py,1,0.0912058479241175
pe_4_mqt.py,2,0.25403684613178157
grover-v-chain_4_mqt.py,1,0.27916041356755333
grover-v-chain_4_mqt.py,2,0.1820839934365491
su2_5_vq.py,1,0.07678604822216338
su2_5_vq.py,2,0.1768137719002694
pe_2_vq.py,1,0.09995815812395246
pe_2_vq.py,2,0.2671850290446784
qft_2_mqt.py,1,0.14150688688433644
qft_2_mqt.py,2,0.11316844965705646
grover_3_vq.py,1,0.17475364924153794
grover_3_vq.py,2,0.16518202973704046
dj_indep_4_mqt.py,1,0.19800740260095626
dj_indep_4_mqt.py,2,0.12373043408644817
qwalk-noancilla_3_mqt.py,1,0.20641608724398508
qwalk-noancilla_3_mqt.py,2,0.24011908623511174
qft_4_mqt.py,1,0.2139076253985685
qft_4_mqt.py,2,0.19277069821601395
3_17tc_vq.py,1,0.17016312586494092
3_17tc_vq.py,2,0.12792043823626204
adder_n4_vq.py,1,0.13910546031091323
adder_n4_vq.py,2,0.11157726550733481
pe_5_vq.py,1,0.252241676404169
pe_5_vq.py,2,0.09478999073774298
qft_3_vq.py,1,0.14104879361539205
qft_3_vq.py,2,0.12307373255265082
su2random_3_mqt.py,1,0.05766506168225105
su2random_3_mqt.py,2,0.044109393477950336
pe_6_mqt.py,1,0.5523494671639798
pe_6_mqt.py,2,0.22404487085329367
tsp_indep_4_mqt.py,1,0.8133418647860138
tsp_indep_4_mqt.py,2,0.11778638630260432
qwalk-v-chain_5_mqt.py,1,0.838342288697692
qwalk-v-chain_5_mqt.py,2,0.331568186247445
bv_3_vq.py,1,0.5847360001126126
bv_3_vq.py,2,0.10054118273638682
pe_6_vq.py,1,0.6204510627506883
pe_6_vq.py,2,0.1950517045243921
qaoa_indep_3_mqt.py,1,0.7037016866573561
qaoa_indep_3_mqt.py,2,0.1530950784834078
qft_6_mqt.py,1,0.09810637296865653
qft_6_mqt.py,2,0.19843760098316857
shor_mod15_mqt.py,1,0.1752581721489666
shor_mod15_mqt.py,2,0.0931929247283026
bv_4_vq.py,1,0.17751441972895612
bv_4_vq.py,2,0.1452843778259037
bv_5_vq.py,1,0.12188956582607358
bv_5_vq.py,2,0.17515825035049995
grover-noancilla_3_mqt.py,1,0.0865297078990325
grover-noancilla_3_mqt.py,2,0.1785378768281878
grover_7_vq.py,1,0.30212475710450615
grover_7_vq.py,2,0.6538595312095545
pe_5_mqt.py,1,0.33667467244715205
pe_5_mqt.py,2,0.2173804784820863
pe_3_mqt.py,1,0.11931537321650636
pe_3_mqt.py,2,0.24873205360752648
qft_3_mqt.py,1,0.1652480408484632
qft_3_mqt.py,2,0.2725255247540398
grover-v-chain_3_mqt.py,1,0.16311328371000933
grover-v-chain_3_mqt.py,2,0.10000744818196257
bv_9_vq.py,1,0.5550026316683384
bv_9_vq.py,2,0.6471410214401376
qft_7_vq.py,1,0.59617750282039
qft_7_vq.py,2,0.21215458317679192
kickback_7_vq.py,1,0.0016897454308060081
kickback_7_vq.py,2,0.06272157942722176
qaoa_indep_4_mqt.py,1,0.17093414558149364
qaoa_indep_4_mqt.py,2,0.16510468449931176
vqe_indep_3_mqt.py,1,0.11113290572970884
vqe_indep_3_mqt.py,2,0.09870009941520475
dj_indep_5_mqt.py,1,0.09853599339860634
dj_indep_5_mqt.py,2,0.053481781212675356
vqe_indep_5_mqt.py,1,0.1058729873652567
vqe_indep_5_mqt.py,2,0.15163145820981566
adder_n7_vq.py,1,0.21136961633674112
adder_n7_vq.py,2,0.21006899260867398
adder_n10_vq.py,1,0.3853273447106704
adder_n10_vq.py,2,0.17383399374831765
pe_7_mqt.py,1,0.21574663847410075
pe_7_mqt.py,2,0.12222174295685238
